Var,PCA1,PCA2
VD,-0.9147287,0.040697675
WD,-0.44186047,0.5988372
VCA,-0.18992248,0.35077518
FCA,-0.1007752,-0.8856589
PCA,0.17054264,0.7616279
WC,0.44573644,-0.60271317
Kp,0.81782943,0.24612403
Dist,0.8992248,-0.16085272
Dm,0.96511626,0.1375969
Da,0.96899223,0.12984496
Dh,0.9883721,0.106589146
